,title,price,location,date,views,Marke,Modell,Kilometerstand,Erstzulassung,Kraftstoffart,Leistung,Getriebe,Fahrzeugtyp,HU bis,Umweltplakette,Schadstoffklasse,Außenfarbe,Material Innenausstattung,Fahrzeugzustand,Anzahl Türen
52,VW Golf IV Tüv 8 Fachbereift,1.600 €,92224 Bayern - Amberg,06.05.2020,00005,Volkswagen,Golf,199.000 km,Juli 2000,Diesel,90 PS,Manuell,Kleinwagen,Oktober 2020,XXX,XXX,Grün,XXX,Unbeschädigtes Fahrzeug,4/5
53,Vw bora variant (Kombi) 1 1/2 Jahre TÜV,1.600 €,52385 Nordrhein-Westfalen - Nideggen / Düren,06.05.2020,00004,Volkswagen,Golf,230 km,Januar 2001,Benzin,105 PS,Manuell,Kombi,November 2021,4 (Grün),Euro4,Blau,Stoff,XXX,4/5
54,Golf 4 GT Sport,2.399 € VB,24369 Schleswig-Holstein - Waabs,30.04.2020,,Volkswagen,Golf,267.000 km,Mai 2003,Diesel,180 PS,Manuell,XXX,August 2021,4 (Grün),XXX,Silber,Stoff,Unbeschädigtes Fahrzeug,2/3
55,Golf Sound,16.500 € VB,26723 Niedersachsen - Emden,28.03.2020,00925,Volkswagen,Golf,17.900 km,Mai 2018,Benzin,110 PS,Automatik,Limousine,Mai 2021,4 (Grün),Euro6,Grau,Stoff,Unbeschädigtes Fahrzeug,4/5
56,Volkswagen Golf 2.0 / BBS felgen / So WI Reifen/,1.800 €,38304 Niedersachsen - Wolfenbüttel,06.05.2020,00000,Volkswagen,Golf,224.200 km,Februar 2000,Benzin,116 PS,Manuell,Limousine,Dezember 2021,4 (Grün),Euro2,Blau,Stoff,Unbeschädigtes Fahrzeug,4/5
57,Volkswagen Golf VI 2.0 TDI GTD AHK Navi Schiebedach (Klima),5.000 €,06785 Sachsen-Anhalt - Oranienbaum,06.05.2020,,Volkswagen,Golf,116.000 km,Dezember 2012,Diesel,170 PS,Manuell,Limousine,XXX,XXX,Euro5,Schwarz,Vollleder,Unbeschädigtes Fahrzeug,4/5
58,Volkswagen Golf 2.0 TSI DSG BMT GTI Performance Vollleder,6.000 €,06785 Sachsen-Anhalt - Oranienbaum,06.05.2020,00000,Volkswagen,Golf,96.000 km,Dezember 2013,Benzin,230 PS,Automatik,Limousine,XXX,XXX,Euro6,Weiß,Vollleder,Unbeschädigtes Fahrzeug,4/5
59,Volkswagen Golf Sportsvan 1.2 TSI BMT mit Anhängekupplung,11.890 €,01909 Sachsen - Großharthau-Seeligstadt,06.05.2020,,Volkswagen,Golf,48.000 km,Juli 2015,Benzin,110 PS,Manuell,Van/Bus,Juli 2020,4 (Grün),Euro6,Orange,Stoff,Unbeschädigtes Fahrzeug,4/5
60,Golf 3 TDI mit einigen Mängeln,300 € VB,90473 Nürnberg - Südoststadt,06.05.2020,00000,Volkswagen,Golf,330.000 km,Juni 1997,Diesel,90 PS,Automatik,XXX,Mai 2020,XXX,XXX,Rot,Stoff,XXX,2/3
61,Volkswagen Golf GTI BlueMotion Technology DSG/DCC/Dynaudio,17.495 €,29320 Niedersachsen - Hermannsburg,06.05.2020,,Volkswagen,Golf,84.000 km,August 2013,Benzin,220 PS,Automatik,Limousine,August 2021,4 (Grün),Euro6,Schwarz,Teilleder,Unbeschädigtes Fahrzeug,4/5
62,Volkswagen Golf VII Lim. Highline BMT,8.900 €,66740 Saarland - Saarlouis,06.05.2020,00000,Volkswagen,Golf,199.000 km,September 2015,Diesel,150 PS,Manuell,Limousine,XXX,4 (Grün),Euro6,Silber,Stoff,Unbeschädigtes Fahrzeug,4/5
63,Volkswagen Golf 1 Cabrio,4.500 €,26935 Niedersachsen - Stadland,06.05.2020,,Volkswagen,Golf,193.000 km,November 1990,Benzin,98 PS,Manuell,Cabrio,Juli 2021,4 (Grün),Euro1,XXX,Vollleder,Unbeschädigtes Fahrzeug,2/3
64,Volkswagen VW Golf 2.0 TDI Tour Edition,1.800 € VB,85391 Bayern - Allershausen,06.05.2020,00000,Volkswagen,Golf,295.482 km,Februar 2007,Diesel,140 PS,Manuell,Limousine,April 2020,4 (Grün),Euro4,Schwarz,XXX,XXX,4/5
65,017631307101,1.800 € VB,85049 Bayern - Ingolstadt,06.05.2020,,Volkswagen,Golf,150.000 km,Mai 1999,XXX,101 PS,Automatik,Kleinwagen,Mai 2021,1 (Keine),Euro3,Silber,Vollleder,Beschädigtes Fahrzeug,4/5
66,Volkswagen Golf 1.4 United,5.250 €,21035 Bergedorf - Hamburg Allermöhe,06.05.2020,00000,Volkswagen,Golf,130.000 km,März 2008,Benzin,80 PS,Manuell,Limousine,April 2021,4 (Grün),Euro4,Schwarz,Stoff,Unbeschädigtes Fahrzeug,4/5
67,Volkswagen Golf 1.4 Comfortline,1.899 €,52076 Aachen - Aachen-Brand,06.05.2020,,Volkswagen,Golf,98.000 km,April 2001,Benzin,75 PS,Manuell,Limousine,XXX,4 (Grün),Euro4,Silber,Stoff,Unbeschädigtes Fahrzeug,4/5
68,Volkswagen Golf Sportsvan 1.4 TSI (BlueMotion Technolog...,15.990 €,82515 Bayern - Wolfratshausen,06.05.2020,00000,Volkswagen,Golf,54.000 km,August 2014,Benzin,150 PS,Automatik,Limousine,September 2021,4 (Grün),Euro6,Grau,Stoff,Unbeschädigtes Fahrzeug,4/5
69,Volkswagen Golf Variant 1.6 TDI DPF DSG Trendline,4.750 €,12107 Berlin - Tempelhof,06.05.2020,,Volkswagen,Golf,210.000 km,Februar 2012,Diesel,105 PS,Automatik,Kombi,Februar 2021,4 (Grün),Euro5,Weiß,Stoff,Unbeschädigtes Fahrzeug,4/5
70,Golf 4 1.9tdi ASZ 130Ps  6Gang S3 Leder,2.400 € VB,01705 Sachsen - Freital,06.05.2020,00000,Volkswagen,Golf,190.000 km,Mai 2002,Diesel,XXX,Manuell,Kombi,Februar 2022,4 (Grün),Euro3,Rot,Vollleder,XXX,4/5
71,Golf 4  1.4 Benzin 16v *Klima*ZV*Bordcomputer*TÜV 9/2021,920 €,21337 Niedersachsen - Lüneburg,06.05.2020,,Volkswagen,Golf,202.000 km,Juli 2001,Benzin,75 PS,Manuell,Limousine,September 2021,4 (Grün),Euro4,Silber,Stoff,XXX,4/5
72,VW Golf 5 1.4 United/ 1.Hand/ Zahnriemen gemacht,5.250 € VB,21035 Hamburg - Bergedorf,06.05.2020,00000,Volkswagen,Golf,130.000 km,März 2008,Benzin,80 PS,Manuell,Limousine,April 2021,4 (Grün),Euro4,Schwarz,Stoff,Unbeschädigtes Fahrzeug,4/5
73,Volkswagen Golf 2.0 TDI Highline*Xenon*Navi*Shz*Alcantara,7.500 € VB,42699 Nordrhein-Westfalen - Solingen,06.05.2020,,Volkswagen,Golf,189.000 km,Oktober 2011,Diesel,140 PS,Manuell,Limousine,Oktober 2020,4 (Grün),Euro5,Grau,Alcantara,Unbeschädigtes Fahrzeug,4/5
74,VW Volkswagen Golf 3 1.4 Tüv 9/20,750 € VB,23966 Mecklenburg-Vorpommern - Wismar,06.05.2020,00000,Volkswagen,Golf,152.000 km,September 1996,Benzin,60 PS,Manuell,Kleinwagen,September 2020,XXX,XXX,Grün,Stoff,Unbeschädigtes Fahrzeug,2/3
75,Golf 6 TSI 13.08.2010,7.500 € VB,10243 Berlin - Friedrichshain,06.05.2020,,Volkswagen,Golf,129.000 km,August 2010,Benzin,75 PS,Automatik,XXX,Mai 2021,4 (Grün),Euro4,Grau,XXX,XXX,4/5
76,VW Lupo Panorama Dach,1.099 € VB,89073 Baden-Württemberg - Ulm,06.05.2020,00000,Volkswagen,Golf,84.000 km,November 2000,Benzin,50 PS,Manuell,Kleinwagen,Januar 2020,4 (Grün),Euro4,Grün,Stoff,XXX,2/3
77,Volkswagen Golf VI 2.0 TDI Style Ausstattung Tausch möglich!,5.990 € VB,37691 Niedersachsen - Boffzen,06.05.2020,,Volkswagen,Golf,205.000 km,Mai 2012,Diesel,140 PS,Manuell,Kombi,April 2022,4 (Grün),Euro5,Schwarz,Stoff,Unbeschädigtes Fahrzeug,4/5
78,"VW Golf 4 2,3 VR5",2.500 € VB,66292 Saarland - Riegelsberg,06.05.2020,00000,Volkswagen,Golf,216.128 km,Februar 1998,Benzin,150 PS,Manuell,Kleinwagen,November 2020,4 (Grün),Euro3,Blau,Vollleder,Unbeschädigtes Fahrzeug,2/3
79,Vw Beetle 1.6 Benzin,1.200 €,55262 Rheinland-Pfalz - Heidesheim,06.05.2020,,Volkswagen,Golf,130.000 km,Mai 2000,Benzin,102 PS,Manuell,Coupé,März 2022,4 (Grün),Euro4,Gelb,Stoff,Unbeschädigtes Fahrzeug,2/3
80,40789monheim,2.000 €,40789 Nordrhein-Westfalen - Monheim am Rhein,06.05.2020,00000,Volkswagen,Golf,146.921 km,Mai 2001,Benzin,XXX,Manuell,Kleinwagen,Januar 2022,1 (Keine),XXX,Schwarz,Andere Materialien Innenausstattung,XXX,4/5
81,"VW Golf 7 COMFORTLINE 1,6TDI BMT mit Standheizung",10.500 €,27726 Niedersachsen - Worpswede,22.03.2020,,Volkswagen,Golf,83.980 km,Dezember 2014,Diesel,110 PS,Manuell,Limousine,Dezember 2021,4 (Grün),Euro6,Grau,Stoff,Unbeschädigtes Fahrzeug,4/5
82,Golf 5 1.4 Klimaanlage/Alu17/Kleinwagen/8-Fach,3.300 € VB,45739 Nordrhein-Westfalen - Oer-Erkenschwick,04.04.2020,00625,Volkswagen,Golf,196.000 km,Mai 2007,Benzin,80 PS,Manuell,Kleinwagen,August 2020,1 (Keine),Euro5,Blau,Stoff,Unbeschädigtes Fahrzeug,2/3
83,Volkswagen Golf Variant 1.4,3.700 €,28211 Bremen - Schwachhausen,06.05.2020,00000,Volkswagen,Golf,146.000 km,Dezember 2004,Benzin,75 PS,Manuell,Kombi,März 2022,4 (Grün),Euro4,Blau,Teilleder,Unbeschädigtes Fahrzeug,4/5
84,Golf 7 schwarz,16.000 € VB,27749 Niedersachsen - Delmenhorst,06.05.2020,00000,Volkswagen,Golf,163.000 km,Mai 2017,Diesel,150 PS,Manuell,Kleinwagen,Mai 2020,XXX,XXX,Schwarz,XXX,Unbeschädigtes Fahrzeug,4/5
85,"Golf 4     1,4l",1.200 € VB,89520 Baden-Württemberg - Heidenheim an der Brenz,06.05.2020,,Volkswagen,Golf,225.000 km,August 1998,Benzin,75 PS,Manuell,Kleinwagen,Januar 2021,4 (Grün),Euro3,Schwarz,Stoff,Unbeschädigtes Fahrzeug,4/5
86,"Golf 4 1.6, Zahnrimen Neu, 8x bereift, Klimatronic, TOP ZUSTAND",1.900 € VB,46485 Nordrhein-Westfalen - Wesel,06.05.2020,00000,Volkswagen,Golf,158.000 km,Juni 2002,Benzin,110 PS,Manuell,Limousine,Februar 2021,4 (Grün),Euro4,Schwarz,Stoff,Unbeschädigtes Fahrzeug,4/5
87,Golf V 1.9 TDI,2.590 €,26789 Niedersachsen - Leer (Ostfriesland),06.05.2020,,Volkswagen,Golf,227.000 km,Januar 2005,Diesel,90 PS,Manuell,XXX,Februar 2021,XXX,XXX,XXX,XXX,XXX,4/5
88,Ich Suche Golf 4 tdi oder 5,VB,53842 Nordrhein-Westfalen - Troisdorf,06.05.2020,00000,Volkswagen,Golf,190.000 km,Mai 2002,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
89,Auto zu verkaufen,999 €,72534 Baden-Württemberg - Hayingen,06.05.2020,,Volkswagen,Golf,196.600 km,März 2003,Benzin,75 PS,Manuell,Limousine,August 2020,4 (Grün),Euro3,Rot,Stoff,XXX,4/5
90,VW GOLF STYLE 2.0 TDI 8 Fach BEREIFT,4.990 € VB,58509 Nordrhein-Westfalen - Lüdenscheid,06.05.2020,00000,Volkswagen,Golf,169.960 km,Mai 2011,Diesel,140 PS,Manuell,Limousine,Januar 2021,4 (Grün),Euro5,Schwarz,Alcantara,Unbeschädigtes Fahrzeug,2/3
91,Volkswagen Golf 1.6 Aktion Trendline,950 €,38228 Niedersachsen - Salzgitter,06.05.2020,,Volkswagen,Golf,254.000 km,Februar 2000,Benzin,105 PS,Manuell,Limousine,Februar 2022,4 (Grün),Euro4,Blau,XXX,Unbeschädigtes Fahrzeug,2/3
92,Volkswagen Golf 1.4 TSI Comfortline,6.000 €,34127 Hessen - Kassel,06.05.2020,00000,Volkswagen,Golf,135.000 km,September 2009,Benzin,160 PS,Manuell,Limousine,Dezember 2020,XXX,Euro5,Schwarz,Stoff,Unbeschädigtes Fahrzeug,4/5
93,VW Golf VII 1.6 TDI Blue Motion,7.800 € VB,24963 Schleswig-Holstein - Tarp,06.05.2020,00010,Volkswagen,Golf,122.517 km,Juni 2013,Diesel,105 PS,Manuell,Kleinwagen,Mai 2022,4 (Grün),Euro5,Schwarz,Stoff,XXX,4/5
94,Golf 5..2008,6.000 €,50672 Innenstadt - Köln Altstadt,06.05.2020,00021,Volkswagen,Golf,10.000 km,November 2008,Benzin,XXX,Automatik,Kombi,November 2022,4 (Grün),Euro4,Silber,XXX,XXX,4/5
95,Volkswagen Golf Plus 1.4 TSI DSG AUTOMATIK KLIMA 1. HAND,5.900 €,10715 Berlin - Wilmersdorf,06.05.2020,00007,Volkswagen,Golf,150.000 km,August 2010,Benzin,122 PS,Automatik,Limousine,August 2020,4 (Grün),Euro5,Grau,Stoff,Unbeschädigtes Fahrzeug,4/5
96,Golf 4 1.9 TDI (Tausch auch möglich),2.000 €,76646 Baden-Württemberg - Bruchsal,06.05.2020,00013,Volkswagen,Golf,313.000 km,April 2002,Diesel,131 PS,Manuell,Limousine,April 2022,XXX,Euro3,Silber,Stoff,Unbeschädigtes Fahrzeug,2/3
97,VW lupo 1.0 TÜV 08/20 4 Zylinder SITZHEIZUNG,300 €,57223 Nordrhein-Westfalen - Kreuztal,06.05.2020,00027,Volkswagen,Golf,212.000 km,Mai 2001,Benzin,50 PS,Manuell,Kleinwagen,August 2020,4 (Grün),Euro4,Blau,Stoff,Beschädigtes Fahrzeug,2/3
98,Ich habe eine ein Auto Golf Plus 2006 bei Auto alles gut,4.500 €,97421 Bayern - Schweinfurt,06.05.2020,00022,Volkswagen,Golf,142 km,Juli 2006,Benzin,115 PS,Manuell,Kleinwagen,Juni 2021,4 (Grün),Euro4,Silber,Stoff,Unbeschädigtes Fahrzeug,4/5
99,"VW Golf 7 1,6 TDi",7.300 € VB,72525 Baden-Württemberg - Münsingen,06.05.2020,00031,Volkswagen,Golf,160.000 km,April 2016,Diesel,110 PS,Manuell,Kombi,Januar 2022,4 (Grün),Euro6,Blau,XXX,XXX,4/5
100,VW Vento Bj.96 Automatik Benzin 1.Hand Scheckheft 85000km TÜV neu,2.330 €,38458 Niedersachsen - Velpke,06.05.2020,00008,Volkswagen,Golf,85.000 km,Mai 1996,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
101,"Volkswagen Golf 2.0 GTI adidas AHK 18"" Schiebedach RNS510",11.500 €,39638 Sachsen-Anhalt - Gardelegen,06.05.2020,00032,Volkswagen,Golf,152.000 km,Juli 2011,Benzin,211 PS,Manuell,Limousine,Dezember 2020,4 (Grün),Euro5,Rot,Teilleder,Unbeschädigtes Fahrzeug,4/5
102,VW Golf Cabrio,999 €,71032 Baden-Württemberg - Böblingen,06.05.2020,00034,Volkswagen,Golf,230.000 km,Mai 1997,Benzin,90 PS,Manuell,Cabrio,November 2020,4 (Grün),XXX,Blau,Stoff,Unbeschädigtes Fahrzeug,2/3
103,Golf IV Cabriolet Highline mit Leder + Standheizung + Klima,4.000 € VB,15838 Brandenburg - Am Mellensee,06.05.2020,00027,Volkswagen,Golf,254.000 km,Juli 2001,Diesel,90 PS,Manuell,Cabrio,Dezember 2021,XXX,XXX,Schwarz,Vollleder,Unbeschädigtes Fahrzeug,2/3
104,Volkswagen Golf GTI Edi35 - edle Wörthersee Ballern Edition,29.999 €,52134 Nordrhein-Westfalen - Herzogenrath,06.05.2020,00036,Volkswagen,Golf,35.000 km,Oktober 2011,Benzin,XXX,Manuell,Limousine,Juli 2021,4 (Grün),Euro5,Weiß,Teilleder,Unbeschädigtes Fahrzeug,4/5
105,VW Golf IV Tüv 8 Fachbereift,1.600 €,92224 Bayern - Amberg,06.05.2020,00008,Volkswagen,Golf,199.000 km,Juli 2000,Diesel,90 PS,Manuell,Kleinwagen,Oktober 2020,XXX,XXX,Grün,XXX,Unbeschädigtes Fahrzeug,4/5
106,Vw bora variant (Kombi) 1 1/2 Jahre TÜV,1.600 €,52385 Nordrhein-Westfalen - Nideggen / Düren,06.05.2020,00006,Volkswagen,Golf,230 km,Januar 2001,Benzin,105 PS,Manuell,Kombi,November 2021,4 (Grün),Euro4,Blau,Stoff,XXX,4/5
